seed,scenario,label,turn,available_budget_mana,used_mana,remaining_mana,violations,planting_trees_amount,house_migration_amount,dam_levee_construction_cost,paddy_dam_construction_cost,capacity_building_cost,agricultural_RnD_cost
334,04_agri_rnd,農業R&D偏重,1,10.0,10.0,0.0,,8.0,0.0,0.0,0.0,0.0,2.0
334,04_agri_rnd,農業R&D偏重,2,6.974,6.974,0.0,,4.974,0.0,0.0,0.0,0.0,2.0
334,04_agri_rnd,農業R&D偏重,3,4.645,4.645,0.0,,2.645,0.0,0.0,0.0,0.0,2.0
334,05_relocation_capacity,移転・防災偏重,1,10.0,10.0,0.0,,0.0,9.0,0.0,0.0,1.0,0.0
334,05_relocation_capacity,移転・防災偏重,2,5.187,5.187,0.0,,0.0,4.187,0.0,0.0,1.0,0.0
334,05_relocation_capacity,移転・防災偏重,3,2.039,2.039,0.0,,0.0,1.039,0.0,0.0,1.0,0.0
334,06_balanced,バランス型,1,10.0,10.0,0.0,,1.0,1.0,5.0,1.0,1.0,1.0
334,06_balanced,バランス型,2,7.116,7.116,0.0,,2.116,0.0,0.0,2.0,1.0,2.0
334,06_balanced,バランス型,3,5.167,5.0,0.167,unused_mana=0.17,0.0,0.0,0.0,2.0,1.0,2.0
334,07_late_response,後手対応,1,10.0,0.0,10.0,unused_mana=10.00,0.0,0.0,0.0,0.0,0.0,0.0
334,07_late_response,後手対応,2,6.974,6.0,0.974,unused_mana=0.97,0.0,0.0,5.0,0.0,1.0,0.0
334,07_late_response,後手対応,3,4.686,4.686,0.0,,0.0,0.0,0.0,1.686,1.0,2.0
334,08_ecosystem_sacrifice,生態系犠牲型,1,10.0,10.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
334,08_ecosystem_sacrifice,生態系犠牲型,2,7.064,7.064,0.0,,0.0,0.0,7.064,0.0,0.0,0.0
334,08_ecosystem_sacrifice,生態系犠牲型,3,5.289,5.289,0.0,,0.0,0.0,5.289,0.0,0.0,0.0
334,09_flood_neglect,洪水軽視型,1,10.0,10.0,0.0,,8.0,0.0,0.0,0.0,0.0,2.0
334,09_flood_neglect,洪水軽視型,2,6.974,6.974,0.0,,4.974,0.0,0.0,0.0,0.0,2.0
334,09_flood_neglect,洪水軽視型,3,4.645,4.645,0.0,,2.645,0.0,0.0,0.0,0.0,2.0
335,01_no_policy,放置,1,10.0,0.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
335,01_no_policy,放置,2,6.985,0.0,6.985,,0.0,0.0,0.0,0.0,0.0,0.0
335,01_no_policy,放置,3,4.483,0.0,4.483,,0.0,0.0,0.0,0.0,0.0,0.0
335,02_hard_infra,堤防偏重,1,10.0,10.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
335,02_hard_infra,堤防偏重,2,7.074,7.074,0.0,,0.0,0.0,7.074,0.0,0.0,0.0
335,02_hard_infra,堤防偏重,3,5.145,5.145,0.0,,0.0,0.0,5.145,0.0,0.0,0.0
335,03_nature_based,自然共生偏重,1,10.0,10.0,0.0,,4.0,0.0,0.0,6.0,0.0,0.0
335,03_nature_based,自然共生偏重,2,7.017,7.017,0.0,,1.017,0.0,0.0,6.0,0.0,0.0
335,03_nature_based,自然共生偏重,3,4.683,4.683,0.0,,0.0,0.0,0.0,4.683,0.0,0.0
335,04_agri_rnd,農業R&D偏重,1,10.0,10.0,0.0,,8.0,0.0,0.0,0.0,0.0,2.0
335,04_agri_rnd,農業R&D偏重,2,6.985,6.985,0.0,,4.985,0.0,0.0,0.0,0.0,2.0
335,04_agri_rnd,農業R&D偏重,3,4.638,4.638,0.0,,2.638,0.0,0.0,0.0,0.0,2.0
335,05_relocation_capacity,移転・防災偏重,1,10.0,10.0,0.0,,0.0,9.0,0.0,0.0,1.0,0.0
335,05_relocation_capacity,移転・防災偏重,2,5.172,5.172,0.0,,0.0,4.172,0.0,0.0,1.0,0.0
335,05_relocation_capacity,移転・防災偏重,3,2.048,2.048,0.0,,0.0,1.048,0.0,0.0,1.0,0.0
335,06_balanced,バランス型,1,10.0,10.0,0.0,,1.0,1.0,5.0,1.0,1.0,1.0
335,06_balanced,バランス型,2,7.112,7.112,0.0,,2.112,0.0,0.0,2.0,1.0,2.0
335,06_balanced,バランス型,3,5.17,5.0,0.17,unused_mana=0.17,0.0,0.0,0.0,2.0,1.0,2.0
335,07_late_response,後手対応,1,10.0,0.0,10.0,unused_mana=10.00,0.0,0.0,0.0,0.0,0.0,0.0
335,07_late_response,後手対応,2,6.985,6.0,0.985,unused_mana=0.98,0.0,0.0,5.0,0.0,1.0,0.0
335,07_late_response,後手対応,3,4.688,4.688,0.0,,0.0,0.0,0.0,1.688,1.0,2.0
335,08_ecosystem_sacrifice,生態系犠牲型,1,10.0,10.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
335,08_ecosystem_sacrifice,生態系犠牲型,2,7.074,7.074,0.0,,0.0,0.0,7.074,0.0,0.0,0.0
335,08_ecosystem_sacrifice,生態系犠牲型,3,5.145,5.145,0.0,,0.0,0.0,5.145,0.0,0.0,0.0
335,09_flood_neglect,洪水軽視型,1,10.0,10.0,0.0,,8.0,0.0,0.0,0.0,0.0,2.0
335,09_flood_neglect,洪水軽視型,2,6.985,6.985,0.0,,4.985,0.0,0.0,0.0,0.0,2.0
335,09_flood_neglect,洪水軽視型,3,4.638,4.638,0.0,,2.638,0.0,0.0,0.0,0.0,2.0
350,01_no_policy,放置,1,10.0,0.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
350,01_no_policy,放置,2,7.479,0.0,7.479,,0.0,0.0,0.0,0.0,0.0,0.0
350,01_no_policy,放置,3,4.89,0.0,4.89,,0.0,0.0,0.0,0.0,0.0,0.0
350,02_hard_infra,堤防偏重,1,10.0,10.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
350,02_hard_infra,堤防偏重,2,7.619,7.619,0.0,,0.0,0.0,7.619,0.0,0.0,0.0
