seed,scenario,label,max_flood_damage_jpy,max_flood_2050_2055,max_flood_2065_2075,max_flood_2080_2100
24,07_late_response,後手対応,375503757.4,225739838.3,225040690.6,375503757.4
24,08_ecosystem_sacrifice,生態系犠牲型,292077983.8,178367453.5,164803519.2,216312313.5
24,09_flood_neglect,洪水軽視型,396117151.5,225739838.3,233819982.3,396117151.5
25,01_no_policy,放置,505683015.9,0.0,269647933.7,505683015.9
25,02_hard_infra,堤防偏重,289774230.2,0.0,164056448.2,215684099.8
25,03_nature_based,自然共生偏重,434272753.0,0.0,239729254.0,434272753.0
25,04_agri_rnd,農業R&D偏重,395775763.0,0.0,234487379.7,395775763.0
25,05_relocation_capacity,移転・防災偏重,364760351.6,0.0,214075764.2,364760351.6
25,06_balanced,バランス型,313664649.4,0.0,200742270.1,313664649.4
25,07_late_response,後手対応,374645693.2,0.0,224238744.3,374645693.2
25,08_ecosystem_sacrifice,生態系犠牲型,289774230.2,0.0,164056448.2,215684099.8
25,09_flood_neglect,洪水軽視型,395775763.0,0.0,234487379.7,395775763.0
26,01_no_policy,放置,504160680.2,198680488.7,268444094.1,504160680.2
26,02_hard_infra,堤防偏重,287458567.6,149989538.5,163303769.4,215049289.5
26,03_nature_based,自然共生偏重,429938517.8,186507751.1,239477878.9,429938517.8
26,04_agri_rnd,農業R&D偏重,392118674.0,198680488.7,235167586.8,392118674.0
26,05_relocation_capacity,移転・防災偏重,360561509.4,120602537.4,212129717.2,360561509.4
26,06_balanced,バランス型,311074512.9,132699824.5,200041381.2,311074512.9
26,07_late_response,後手対応,373792293.0,191212438.0,223463427.1,373792293.0
26,08_ecosystem_sacrifice,生態系犠牲型,287458567.6,149989538.5,163303769.4,215049289.5
26,09_flood_neglect,洪水軽視型,392118674.0,198680488.7,235167586.8,392118674.0
27,01_no_policy,放置,502623002.7,197655013.0,267230724.1,502623002.7
27,02_hard_infra,堤防偏重,285131025.2,149223671.6,162545467.6,214407845.7
27,03_nature_based,自然共生偏重,428748325.3,185547177.6,239228112.0,428748325.3
27,04_agri_rnd,農業R&D偏重,391991628.4,197655013.0,235860698.0,391991628.4
27,05_relocation_capacity,移転・防災偏重,357382849.1,120233072.4,210536412.3,357382849.1
27,06_balanced,バランス型,311018758.5,132419955.2,199293101.1,311018758.5
27,07_late_response,後手対応,373246864.1,191884715.0,227051540.6,373246864.1
27,08_ecosystem_sacrifice,生態系犠牲型,285131025.2,149223671.6,162545467.6,214407845.7
27,09_flood_neglect,洪水軽視型,391991628.4,197655013.0,235860698.0,391991628.4
28,01_no_policy,放置,501069900.3,196620814.5,266007795.2,501069900.3
28,02_hard_infra,堤防偏重,282791634.0,148451130.0,187838094.5,213759731.7
28,03_nature_based,自然共生偏重,427551447.6,184578393.4,238979984.5,427551447.6
28,04_agri_rnd,農業R&D偏重,391875058.8,196620814.5,236566807.2,391875058.8
28,05_relocation_capacity,移転・防災偏重,354422362.3,120021215.5,209044946.1,354422362.3
